# 10000 random (x, y) pairs in [0, 1]^2, seed=42
0.639427,0.025011
0.275029,0.223211
0.736471,0.676699
0.892180,0.086939
0.421922,0.029797
0.218638,0.505355
0.026536,0.198838
0.649884,0.544941
0.220441,0.589266
0.809430,0.006499
0.805819,0.698139
0.340251,0.155479
0.957213,0.336595
0.092746,0.096716
0.847494,0.603726
0.807128,0.729732
0.536228,0.973116
0.378534,0.552041
0.829405,0.618520
0.861707,0.577352
0.704572,0.045824
0.227898,0.289388
0.079792,0.232791
0.101001,0.277974
0.635684,0.364832
0.370181,0.209507
0.266978,0.936655
0.648035,0.609131
0.171139,0.729127
0.163402,0.379455
0.989523,0.640000
0.556950,0.684614
0.842852,0.776000
0.229048,0.032100
0.315453,0.267741
0.210983,0.942910
0.876368,0.314678
0.655439,0.395632
0.914548,0.458852
0.264880,0.246628
0.561368,0.262742
0.584586,0.897823
0.399401,0.219321
0.997538,0.509526
0.090909,0.047116
0.109649,0.627446
0.792079,0.422160
0.063528,0.381619
0.996121,0.529114
0.971078,0.860780
0.011481,0.720722
0.681710,0.536970
0.266825,0.640962
0.111552,0.434765
0.453724,0.953816
0.875853,0.263389
0.500586,0.178652
0.912628,0.870519
0.298445,0.638949
0.608970,0.152839
0.762511,0.539379
0.778626,0.530354
0.000572,0.324156
0.019477,0.929099
0.878722,0.831666
0.307514,0.057925
0.878010,0.946949
0.085653,0.485990
0.069213,0.760602
0.765834,0.128391
0.475282,0.549804
0.265057,0.872433
0.423138,0.211798
0.539296,0.729931
0.201151,0.311716
0.995149,0.649878
0.438100,0.517576
0.121004,0.224697
0.338086,0.588309
0.230115,0.220217
0.070993,0.631103
0.228942,0.905420
0.859635,0.070857
0.238005,0.668978
0.214237,0.132312
0.935514,0.571043
0.472671,0.784619
0.807497,0.190410
0.096931,0.431051
0.423579,0.467025
0.729076,0.673365
0.984165,0.098418
0.402621,0.339303
0.861673,0.248656
0.190209,0.448614
0.421882,0.278545
0.249806,0.923266
0.443131,0.861349
0.550325,0.050588
0.999282,0.836028
0.968996,0.926367
0.848696,0.166311
0.485641,0.213747
0.401040,0.058635
0.378973,0.985309
0.265203,0.784071
0.455008,0.423007
0.957318,0.995423
0.555768,0.718408
0.154797,0.296708
0.968709,0.579180
0.542195,0.747976
0.057165,0.584178
0.502850,0.852720
0.157433,0.960779
0.080111,0.185825
0.595035,0.675213
